0,tensor(0.)
100,tensor(10.1875)
200,tensor(10.5625)
300,tensor(9.3750)
400,tensor(11.5000)
500,tensor(12.)
600,tensor(10.8750)
700,tensor(10.5625)
800,tensor(10.6875)
900,tensor(11.5000)
1000,tensor(12.6875)
1100,tensor(15.1250)
1200,tensor(14.7500)
1300,tensor(15.8750)
1400,tensor(13.2500)
1500,tensor(9.7500)
1600,tensor(18.3750)
1700,tensor(12.6875)
1800,tensor(19.5000)
1900,tensor(17.7500)
2000,tensor(15.1875)
2100,tensor(26.8750)
2200,tensor(12.6875)
2300,tensor(20.2500)
2400,tensor(20.8125)
2500,tensor(18.7500)
2600,tensor(12.9375)
2700,tensor(15.8125)
2800,tensor(20.6875)
2900,tensor(16.9375)
3000,tensor(17.8125)
3100,tensor(22.8750)
3200,tensor(21.0625)
3300,tensor(15.5625)
3400,tensor(11.2500)
3500,tensor(24.)
3600,tensor(9.8750)
3700,tensor(16.7500)
3800,tensor(15.3750)
3900,tensor(19.7500)
4000,tensor(22.3750)
4100,tensor(18.2500)
4200,tensor(19.8125)
4300,tensor(14.9375)
4400,tensor(12.5625)
4500,tensor(13.3750)
4600,tensor(24.0625)
4700,tensor(22.8750)
4800,tensor(29.5625)
4900,tensor(29.1875)
5000,tensor(26.1875)
5100,tensor(22.1875)
5200,tensor(24.3125)
5300,tensor(25.1250)
5400,tensor(24.8125)
5500,tensor(37.8125)
5600,tensor(26.1875)
5700,tensor(24.4375)
5800,tensor(22.3125)
5900,tensor(24.3125)
6000,tensor(19.8125)
6100,tensor(24.0625)
6200,tensor(31.8750)
6300,tensor(25.9375)
6400,tensor(16.9375)
6500,tensor(17.6250)
6600,tensor(24.8750)
6700,tensor(23.1250)
6800,tensor(16.)
6900,tensor(18.7500)
7000,tensor(15.8125)
7100,tensor(22.6250)
7200,tensor(21.6875)
7300,tensor(15.0625)
7400,tensor(23.1250)
7500,tensor(28.3750)
7600,tensor(26.2500)
7700,tensor(25.6875)
7800,tensor(15.1250)
7900,tensor(23.4375)
8000,tensor(39.1250)
8100,tensor(35.0625)
8200,tensor(45.9375)
8300,tensor(35.6875)
8400,tensor(36.6875)
8500,tensor(29.5000)
8600,tensor(31.8750)
8700,tensor(33.5625)
8800,tensor(36.8125)
8900,tensor(35.3125)
9000,tensor(42.8750)
9100,tensor(34.8125)
9200,tensor(39.1875)
9300,tensor(37.6250)
9400,tensor(42.7500)
9500,tensor(47.)
9600,tensor(51.)
9700,tensor(48.3750)
9800,tensor(43.1875)
9900,tensor(46.4375)
10000,tensor(35.)
10100,tensor(30.4375)
10200,tensor(50.1250)
10300,tensor(57.6875)
10400,tensor(51.7500)
10500,tensor(60.7500)
10600,tensor(47.8750)
10700,tensor(50.8750)
10800,tensor(51.5625)
10900,tensor(37.5625)
11000,tensor(61.5625)
11100,tensor(44.4375)
11200,tensor(47.3750)
11300,tensor(54.2500)
11400,tensor(58.3750)
11500,tensor(49.)
11600,tensor(59.6875)
11700,tensor(41.7500)
11800,tensor(49.1875)
11900,tensor(46.8125)
12000,tensor(47.6875)
12100,tensor(48.1875)
12200,tensor(55.7500)
12300,tensor(33.6250)
12400,tensor(59.3750)
12500,tensor(62.1250)
12600,tensor(55.0625)
12700,tensor(43.8750)
12800,tensor(46.0625)
12900,tensor(46.8750)
13000,tensor(51.7500)
13100,tensor(48.3125)
13200,tensor(54.0625)
13300,tensor(62.3125)
13400,tensor(58.4375)
13500,tensor(53.4375)
13600,tensor(53.1875)
13700,tensor(55.9375)
13800,tensor(65.5625)
